time;logger;level;message;exception
2011-12-07 21:33:39.0706;Raven.Database.Server.HttpServer;Debug;Request #  13: POST    -    93 ms - <default>  - 200 - /bulk_docs;
2011-12-07 21:33:39.0986;Raven.Database.Server.HttpServer;Debug;"	PUT 3cffee1d-382b-469b-b3e4-9fb201634bfd/1
";
2011-12-07 21:33:39.1186;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'StreamHeads/3cffee1d-382b-469b-b3e4-9fb201634bfd' was not found;
2011-12-07 21:33:39.1186;Raven.Database.Server.HttpServer;Debug;Request #  14: GET     -     0 ms - <default>  - 404 - /docs/StreamHeads/3cffee1d-382b-469b-b3e4-9fb201634bfd;
2011-12-07 21:33:39.1396;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitByDate;
2011-12-07 21:33:39.1396;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:39.1396;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitByRevisionRange;
2011-12-07 21:33:39.1396;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenSnapshotByStreamIdAndRevision;
2011-12-07 21:33:39.1956;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitsByDispatched;
2011-12-07 21:33:39.3326;Raven.Database.DocumentDatabase;Debug;Executing batched commands in a single transaction;
2011-12-07 21:33:39.3326;Raven.Database.DocumentDatabase;Debug;Putting a document with key: StreamHeads/3cffee1d-382b-469b-b3e4-9fb201634bfd and etag ;
2011-12-07 21:33:39.3326;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'StreamHeads/3cffee1d-382b-469b-b3e4-9fb201634bfd', update: False, ;
2011-12-07 21:33:39.3326;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands;
2011-12-07 21:33:39.3326;Raven.Database.Server.HttpServer;Debug;Request #  15: POST    -     1 ms - <default>  - 200 - /bulk_docs;
2011-12-07 21:33:39.3326;Raven.Database.Server.HttpServer;Debug;"	PUT StreamHeads/3cffee1d-382b-469b-b3e4-9fb201634bfd
";
2011-12-07 21:33:39.3326;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenSnapshotByStreamIdAndRevision;
2011-12-07 21:33:39.3326;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:39.3516;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitByDate' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:3cffee1d-382b-469b-b3e4-9fb201634bfd/1> indexed,omitNorms<CommitStamp:20111207203338914>>;
2011-12-07 21:33:39.3516;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitsByDispatched' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:3cffee1d-382b-469b-b3e4-9fb201634bfd/1> indexed,omitNorms<Dispatched:false>>;
2011-12-07 21:33:39.3516;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitByRevisionRange' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:3cffee1d-382b-469b-b3e4-9fb201634bfd/1> indexed,tokenized<StreamId:3cffee1d-382b-469b-b3e4-9fb201634bfd> indexed,omitNorms<StartingStreamRevision:1> indexed,tokenized,omitNorms,omitTermFreqAndPositions<StartingStreamRevision_Range:1> indexed,omitNorms<StreamRevision:1> indexed,tokenized,omitNorms,omitTermFreqAndPositions<StreamRevision_Range:1>>;
2011-12-07 21:33:39.5216;Raven.Database.DocumentDatabase;Debug;Executing batched commands in a single transaction;
2011-12-07 21:33:39.5216;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key '3cffee1d-382b-469b-b3e4-9fb201634bfd/1' was found;
2011-12-07 21:33:39.5506;Raven.Database.DocumentDatabase;Debug;Putting a document with key: 3cffee1d-382b-469b-b3e4-9fb201634bfd/1 and etag 00000000-0000-0100-0000-000000000001;
2011-12-07 21:33:39.5506;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key '3cffee1d-382b-469b-b3e4-9fb201634bfd/1', update: True, ;
2011-12-07 21:33:39.5506;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key '3cffee1d-382b-469b-b3e4-9fb201634bfd/1' was found;
2011-12-07 21:33:39.5506;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands;
2011-12-07 21:33:39.5506;Raven.Database.Server.HttpServer;Debug;Request #  16: POST    -    52 ms - <default>  - 200 - /bulk_docs;
2011-12-07 21:33:39.5506;Raven.Database.Server.HttpServer;Debug;"	PATCH 3cffee1d-382b-469b-b3e4-9fb201634bfd/1
";
2011-12-07 21:33:39.7326;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-12-07 21:33:39.7326;Raven.Database.Server.HttpServer;Debug;Request #  17: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for RavenCommitsByDispatched;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for RavenCommitByDate;
